Nombre,Marca,Categorias,Precio Original,Precio Final,Moneda,Estado,Descripcion,Fecha de captura
"CARBONELL aceite de oliva suave 0,4º bidón 5 l",,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",18.75,12.99,EUR,AVAILABLE,,2020-04-11
"CARBONELL aceite de oliva suave 0,4º bidón 3 l",,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",11.35,11.35,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
"LA ESPAÑOLA aceite de oliva suave 0,4º botella 1 l",,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",3.99,3.79,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
LA ESPAÑOLA aceite de oliva intenso 1º botella 1 l,,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",3.99,3.79,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
"BORGES aceite de oliva suave 0,4º botella 1 l",,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",4.49,3.99,EUR,AVAILABLE,,2020-04-11
BORGES aceite de oliva intenso 1º botella 1 l,,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",4.49,3.99,EUR,AVAILABLE,,2020-04-11
"URZANTE aceite de oliva suave 0,4º botella 1 l",,"Alimentación General,Alimentación general,Aceites,Aceite de oliva",3.69,3.49,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
LA ESPAÑOLA aceitunas suaves rellenas de anchoa pack 3 latas 50 g neto escurrido,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",2.55,2.55,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
LA ESPAÑOLA aceitunas rellenas de anchoa pack 3 latas 50 g neto escurrido,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",2.55,2.55,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
LA ESPAÑOLA Te Cuida aceitunas rellenas de anchoa con omega 3 pack 3 latas 50 g neto escurrido,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",2.55,2.55,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
LA ESPAÑOLA Deluxe aceitunas rellenas de anchoa lata 150 g neto escurrido,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",1.78,1.78,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
SERPIS Sabores aceitunas rellenas de queso manchego lata 130 g,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",1.78,1.75,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
EL TORREÓN aceitunas rellenas al limón lata 130 g neto escurrido,,"Alimentación General,Alimentación general,Aceitunas y encurtidos,Aceitunas rellenas",1.20,1.00,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
FONT VELLA agua mineral natural botella 75 cl con tapón Sport,,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.71,0.71,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
FONT VELLA agua mineral natural botella 33 cl con tapón Sport (Personajes surtidos según existencias),,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.43,0.43,EUR,AVAILABLE,"Lleva 6 unidades por 2,10 €",2020-04-11
SOLAN DE CABRAS agua mineral natural botella 75 cl,,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.68,0.68,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
"LANJARON agua mineral natural garrafa 6,25 l",,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",1.99,1.99,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
"AQUAREL agua mineral de manantial botella 1,5 l",,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.49,0.49,EUR,AVAILABLE,"Lleva 6 unidades por 2,46 €",2020-04-11
"CABREIROA agua mineral sin gas botella 1,5 l",,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.67,0.67,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
CABREIROA agua mineral natural botella 75 cl con tapón Sport,,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.72,0.72,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
CABREIROA agua mineral natural botella 50 cl,,"Bebidas,Agua, Refrescos y Zumos,Agua y soda,Agua mineral sin gas",0.54,0.54,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
